symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,CorporateIdentityNumber,L74899DL1978PLC009181,DCYMain,2024-04-01 to 2025-03-31,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,NameOfTheCompany,Jagsonpal Pharmaceuticals Limited,ICYMain,2025-03-31,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,DateOfIncorporation,1978-08-17,DCYMain,2024-04-01 to 2025-03-31,,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2024,2025,01-Sep-2025,AddressOfRegisteredOfficeOfCompany,"Innov8, 3rd Floor, Plot No. 211, Okhla Phase-3, New Delhi-110020",DCYMain,2024-04-01 to 2025-03-31,,,
