symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain1,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain1,, to ,,,
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,2024,2025,06-Aug-2025,CorporateIdentityNumber,L27201MH1983PLC233813,DCYMain,2024-04-01 to 2025-03-31,,,
