symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
JLHL,Jupiter Life Line Hospitals Limited,2024,2025,17-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
