symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,CorporateIdentityNumber,L40102GJ2008PLC083302,DCYMain,2024-04-01 to 2025-03-31,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,NameOfTheCompany,KPI GREEN ENERGY LIMITED,ICYMain,2025-03-31,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,DateOfIncorporation,2008-02-01,DCYMain,2024-04-01 to 2025-03-31,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,2024,2025,04-Sep-2025,AddressOfRegisteredOfficeOfCompany,"KP House', Near KP Circle, Opp. Ishwar Farm Junction BRTS, Canal Road, Bhatar, Surat-395017. Gujarat, India",DCYMain,2024-04-01 to 2025-03-31,,,
