symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,2024,2025,25-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
