symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain2,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain3,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
M&MFIN,Mahindra & Mahindra Financial Services Limited,2024,2025,27-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
