symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
