symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain5,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain6,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain7,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain8,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain10,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain11,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,SettlementDomain,SettlementDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,PunishmentDomain,PunishmentDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ProductOrServiceDomain,ProductOrServiceDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ReclaimedProductsAndTheirPackagingDomain,ReclaimedProductsAndTheirPackagingDomain1,, to ,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,2024,2025,05-Aug-2025,ReclaimedProductsAndTheirPackagingDomain,ReclaimedProductsAndTheirPackagingDomain2,, to ,,,
