symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain8,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain9,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain10,, to ,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,CorporateIdentityNumber,L15204PN1992PLC070209,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,NameOfTheCompany,Parag Milk Foods Limited,ICYMain,2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,DateOfIncorporation,1992-12-29,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,AddressOfRegisteredOfficeOfCompany,"Flat No.1, Plot No.19, Nav Rajasthan Soc., Behind Ratna Memorial Hospital, S.B. Road, Shivaji Nagar Pune, Maharashtra- 411016",DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,AddressOfCorporateOfficeOfCompany,"10th Floor, Nirmal Building, Nariman Point, Mumbai-400021",DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EMailOfTheCompany,investors@parag.com,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,TelephoneOfCompany,022 - 4300 5555,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,WebsiteOfCompany,www.paragmilkfoods.com,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,ValueOfSharesPaidUp,1193758410,ICYMain,2025-03-31,,INR,0
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,NameOfContactPerson,Virendra Varma,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,ContactNumberOfContactPerson,022 - 4300 5555,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,EMailOfContactPerson,investors@parag.com,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
PARAGMILK,Parag Milk Foods Limited,2024,2025,05-Sep-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
