symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain14,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain15,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain16,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain17,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain18,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain19,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain20,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain21,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain22,, to ,,,
PNCINFRA,PNC Infratech Limited,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain23,, to ,,,
