symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
RAMRAT,RAM RATNA WIRES LIMITED,2024,2025,04-Aug-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
