symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain4,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain5,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain6,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain7,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain8,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain9,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain10,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain11,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain12,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain13,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain14,, to ,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain15,, to ,,,
