symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,CorporateIdentityNumber,L21012PB1980PLC004329,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,NameOfTheCompany,Satia Industries Limited,ICYMain,2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,DateOfIncorporation,1980-11-26,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,AddressOfRegisteredOfficeOfCompany,"Village Rupana, Malout-Muktsar Road, Muktsar, Punjab - 152032",DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,AddressOfCorporateOfficeOfCompany,"Village Rupana, Malout-Muktsar Road, Muktsar, Punjab - 152032",DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,EMailOfTheCompany,satiapaper@satiagroup.com,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,TelephoneOfCompany,"01633-262001,262215, 263585",DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,WebsiteOfCompany,www.satiagroup.com,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,ValueOfSharesPaidUp,100000000,ICYMain,2025-03-31,,INR,0
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,NameOfContactPerson,Mr. Rakesh Kumar Dhuria,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,ContactNumberOfContactPerson,"01633-262001,262215, 263585",DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,EMailOfContactPerson,satia.secretarial@satiagroup.com,DCYMain,2024-04-01 to 2025-03-31,,,
SATIA,Satia Industries Limited,2024,2025,05-Sep-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
