symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,SettlementDomain,SettlementDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,ReclaimedProductsAndTheirPackagingDomain,ReclaimedProductsAndTheirPackagingDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain7,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,IssuesRelatedToAntiCompetitiveDomain,IssuesRelatedToAntiCompetitive1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,CorrectiveActionsTakenBasedOnAnyAdverseOrderInIntellectualPropertyRelatedDisputesDomain,CorrectiveActionsTakenBasedOnAnyAdverseOrderInIntellectualPropertyRelatedDisputes1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,NegativeSocialImpactIdentifiedDomain,NegativeSocialImpactIdentified1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,CorporateIdentityNumber,L51900GJ1980PLC065554,DCYMain,2024-04-01 to 2025-03-31,,,
SHAILY,Shaily Engineering Plastics Limited,2024,2025,03-Sep-2025,NameOfTheCompany,Shaily Engineering Plastics Limited,ICYMain,2025-03-31,,,
