symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,2024,2025,05-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
