symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,StockExchangeDomain,StockExchange2,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
SMSPHARMA,SMS PHARMACEUTICALS LIMITED,2024,2025,06-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
