symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain2,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain3,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain6,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromNonRenewableSourcesDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,CorporateIdentityNumber,L18101TZ2005PLC012295,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,NameOfTheCompany,S. P. APPARELS LIMITED,ICYMain,2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DateOfIncorporation,2005-06-11,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,AddressOfRegisteredOfficeOfCompany,"39-A,EXTENSION STREET, KAIKATTIPUDUR AVINASHI, TIRUPUR 641654",DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,AddressOfCorporateOfficeOfCompany,"39-A,EXTENSION STREET, KAIKATTIPUDUR AVINASHI, TIRUPUR 641654",DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,EMailOfTheCompany,CSOFFICE@SPAPPARELS.COM,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,TelephoneOfCompany,04296714000,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,WebsiteOfCompany,WWW.SPAPPARELS.COM,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,ValueOfSharesPaidUp,250926000,ICYMain,2025-03-31,,INR,0
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,NameOfContactPerson,K Vinodhini,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,ContactNumberOfContactPerson,04296714000,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,EMailOfContactPerson,csoffice@spapparels.com,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,NameOfStockExchangeWhereTheCompanyIsListed,BSE,D_StockExchangeAxis1,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,NameOfStockExchangeWhereTheCompanyIsListed,NSE,D_StockExchangeAxis2,2024-04-01 to 2025-03-31,,,
SPAL,S. P. APPARELS LIMITED,2024,2025,08-Aug-2025,DescriptionOfMainActivity,Manufacturing,D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
