symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,StockExchangeDomain,StockExchange1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain2,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain3,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain2,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain2,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain3,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,OtherAirEmissionsDomain,OtherAirEmissionsDomain3,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,EnvironmentalImpactAssessmentsOfProjectDomain,EnvironmentalImpactAssessmentsOfProject1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken2,, to ,,,
SPIC,Southern Petrochemicals Industries Corporation  Limited,2024,2025,01-Sep-2025,CorporateIdentityNumber,L11101TN1969PLC005778,DCYMain,2024-04-01 to 2025-03-31,,,
