symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,SettlementDomain,SettlementDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,PunishmentDomain,PunishmentDomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
SULA,Sula Vineyards Limited,2024,2025,02-Jun-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
