symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain9,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,SettlementDomain,SettlementDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,PunishmentDomain,PunishmentDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,AppealOrRevisiondomain,AppealOrRevisiondomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain,TheEntityConductedLifeCyclePerspectiveOrAssessmentsDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,ProductOrServiceDomain,ProductOrServiceDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,ReclaimedProductsAndTheirPackagingDomain,ReclaimedProductsAndTheirPackagingDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,OtherRetirementBenefitsDomain,OtherRetirementBenefitsDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EnvironmentalImpactAssessmentsOfProjectDomain,EnvironmentalImpactAssessmentsOfProject1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain,EnergyConsumptionThroughOtherSourceFromRenewableSourcesDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain3,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain4,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,SpecificInitiativesDomain,SpecificInitiativesDomain5,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,FacilityOrPlantLocatedInAreasOfWaterStressDomain,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects3,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects4,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects5,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects6,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects7,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects8,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects9,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsDomain,CSRProjects10,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken1,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken2,, to ,,,
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,2024,2025,08-Jul-2025,CSRProjectsUndertakenDomain,CSRProjectsUndertaken3,, to ,,,
