symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,StockExchangeDomain,StockExchange1,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,StockExchangeDomain,StockExchange2,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain5,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain6,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,2024,2025,26-Jun-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
