symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,StockExchangeDomain,StockExchange1,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,StockExchangeDomain,StockExchange2,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain4,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain5,, to ,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,CorporateIdentityNumber,L25111TN1982PLC009414,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,NameOfTheCompany,TVS Srichakra Limited,ICYMain,2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DateOfIncorporation,1982-06-02,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,AddressOfRegisteredOfficeOfCompany,"TVS Building, 7-B West Veli Street, Madurai 625 001",DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,AddressOfCorporateOfficeOfCompany,"No.10, Jawahar Road, Madurai 625 002. Tamil Nadu.",DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,EMailOfTheCompany,secretarial@eurogriptyres.com,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,TelephoneOfCompany,0452 2443300,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,WebsiteOfCompany,www.tvseurogrip.com,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DateOfStartOfFinancialYear,2024-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DateOfEndOfFinancialYear,2025-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DateOfStartOfPreviousYear,2023-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DateOfEndOfPreviousYear,2024-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DateOfStartOfPriorToPreviousYear,2022-04-01,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DateOfEndOfPriorToPreviousYear,2023-03-31,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,ValueOfSharesPaidUp,76570500,ICYMain,2025-03-31,,INR,0
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,NameOfContactPerson,Mr. Chinmoy Patnaik (Company Secretary),DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,ContactNumberOfContactPerson,0452 2443300,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,EMailOfContactPerson,secretarial@eurogriptyres.com,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,ReportingBoundary,Standalone basis,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,WhetherTheCompanyHasUndertakenAssessmentOrAssuranceOfTheBRSRCore,No,DCYMain,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,NameOfStockExchangeWhereTheCompanyIsListed,BSE,D_StockExchangeAxis1,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,NameOfStockExchangeWhereTheCompanyIsListed,NSE,D_StockExchangeAxis2,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DescriptionOfMainActivity,Manufacture of  tyres and tubes,D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,DescriptionOfBusinessActivity,"Manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three-wheelers, tractors and aircraft",D_BusinessActivities1,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,PercentageOfTotalTurnoverForBusinessActivities,0.9952,D_BusinessActivities1,2024-04-01 to 2025-03-31,,pure,INF
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,ProductOrServiceSoldByTheEntity,Manufacture of tyres and tubes,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,NICCodeOfProductOrServiceSoldByTheEntity,22111,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,,
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,PercentageOfTotalTurnoverForProductOrServiceSold,0.9952,D_ProductServiceSold1,2024-04-01 to 2025-03-31,,pure,INF
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,NumberOfLocations,3,D_Plant_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:PlantMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
TVSSRICHAK,TVS Srichakra Limited,2024,2025,25-Aug-2025,NumberOfLocations,114,D_Office_National,2024-04-01 to 2025-03-31,in-capmkt:LocationAxis=in-capmkt:OfficeMember; in-capmkt:GeographicalAxis=in-capmkt:NationalMember,pure,0
