symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain3,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain2,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain3,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain2,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain3,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain4,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain5,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain6,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain7,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain8,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain2,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain,RecycledOrReusedInputMaterialUsedInProductionOrProvidingServicesDomain2,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,OtherWasteDomain,OtherWasteDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,ReclaimedProductsAndTheirPackagingDomain,ReclaimedProductsAndTheirPackagingDomain1,, to ,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2024,2025,30-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
